row_id,Category Code,SPECS
11,[331525000000],"{'[Type]': '[1-Pole 3-Way]', '[Series]': '[VNW-P]', '[Voltage Rating]': '[120 to 277 | V]', '[Sensor Type]': '[PIR]', '[Coverage]': '[1000 | sq-ft]', '[Control Output]': '[Manual On]', '[Mounting Type]': '[Wall]', '[Color]': '[Gray]'}"
12,[2525230000],"{'[Type]': '[Abrasive Mop]', '[Series]': '[KM 613]', '[Size]': '[2 | in]', '[Length]': '[1/4 | in]', '[Head Material]': '[Aluminum Oxide]', '[Handle Material]': '[Synthetic Resin]'}"
13,[341343000000],"{'[Type]': '[Architectural]', '[Series]': '[OC1]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[23, 27, 37 | W]', '[Average Life]': '[167000 | hrs]', '[Color Temperature]': '[3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[3000, 4000, 5000 | Lumens]', '[Mounting Type]': '[Surface/Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[High Gloss Baked White Enamel]', '[Dimensions]': '[4-1/4 in L x 6 in W x 5-3/4 in H]'}"
14,[1010130000],"{'[Type]': '[Self-Fastening]', '[Series]': '[PS22K]', '[Length]': '[5-1/4 | in]', '[Width]': '[3 | in]', '[Grit]': '[120]', '[Abrasive Material]': '[Aluminium Oxide]', '[Backing Material]': '[Paper]', '[Coat Type]': '[Semi-Open]', '[Applicable Materials]': '[Wood, Metals, Paint, Varnish, Plastic and Steel]', '[Backing Weight]': '[E-Weight]'}"
15,[341114000000],"{'[Series]': '[ELM-LED-804]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[5.4 | W]', '[Number of Heads]': '[2]', '[Lumens]': '[520 | Lumens]', '[Color Temperature]': '[6000 | K]', '[Power Source]': '[LiFePO4]', '[Mounting Type]': '[Universal Wall/Ceiling]', '[Dimensions]': '[5.5 in H x 12.125 in W x 3.75 in D]', '[Material]': '[Thermoplastic]', '[Color]': '[Black]'}"
16,[1010120000],"{'[Type]': '[Abrasive]', '[Series]': '[CS 561]', '[Disc Diameter]': '[125 | mm]', '[Center Hole Size]': '[22 | mm]', '[Grit]': '[40]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Fibre]', '[Applicable Materials]': '[Steel/NF metals/Metals/Plastic/Stainless Steel/Wood]', '[Maximum Speed]': '[12200 | rpm]'}"
17,[1012110000],"{'[Type]': '[Flat]', '[Series]': '[A 24 Extra]', '[Wheel Diameter]': '[5 | in]', '[Wheel Thickness]': '[3/32 | in]', '[Center Hole Size]': '[7/8 | in]', '[Abrasive Material]': '[Aluminum Oxide]', '[Maximum Speed]': '[12200 | rpm]', '[Bond Type]': '[Synthetic Resin/Fibre-Reinforced]', '[Applicable Materials]': '[Metals]', '[Suitable For Use With]': '[Angle Grinders]'}"
18,[341321000000],"{'[Type]': '[Architectural]', '[Series]': '[CB2-LED]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[328 | W]', '[Average Life]': '[70000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V 5% Dimming]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[45000 | Lumens]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Post Painted White]', '[Dimensions]': '[5.5 in H x 45-13/16 in W x 3-5/16 in D]'}"
19,[341319000000],"{'[Series]': '[OMSD1]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[29 | W]', '[Lighting Technology]': '[seleCCTable®]', '[Lamp Type]': '[LED]', '[Light Output]': '[95 | Lumens/W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[Triac Dimming]', '[Lens Type]': '[PMMA Lens]', '[Lumens]': '[2000 | Lumens]', '[Mounting Type]': '[Surface/Flush]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Satin Nickel]', '[Dimensions]': '[3 in H x 18 in Dia]'}"
20,[341835000000],"{'[Type]': '[Medium No Cut-Off]', '[Series]': '[OWP-NC-201-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[56 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[5000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Optical]', '[Lumens]': '[6000 | Lumens]', '[Mounting Type]': '[Wall]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[9-1/2 in H x 14-1/2 in W x 7-3/4 in D]'}"
21,[331412000000],{'[Voltage Rating]': '[120 | VAC]'}
22,[1163111814],"{'[Series]': '[40-151]', '[Size]': '[X-Large]', '[Color]': '[White]', '[Material]': '[Microporous]', '[Resists]': '[Non-Hazardous Liquids/Dry Particles]'}"
23,[331428000000],"{'[Series]': '[WAC]', '[Voltage Rating]': '[120 | V]', '[Number of Switches]': '[1]', '[Dimensions]': '[4-3/4 in H x 4-3/4 in W x 1 in D]'}"
24,[2822220000],"{'[Type]': '[3 Button]', '[Series]': '[WWBL3]', '[Switch Type]': '[2-Button with Raise/Lower]', '[Operation Mode]': '[Raise/Lower]', '[Sensing Range]': '[100 | ft]', '[Frequency Rating]': '[2.4 | GHz]', '[Mounting Type]': '[Standard]', '[Temperature Rating]': '[32 to 113 | deg F]', '[Color]': '[White]', '[Dimensions]': '[4.2 in H x 1.8 in W x 1.5 in D]'}"
25,[373326000000],"{'[Series]': '[69-250]', '[Glove Type]': '[Work]', '[Size]': '[Medium]', '[Palm Material]': '[Nitrile]', '[Material]': '[Aramid]', '[Color]': '[Black/Yellow]', '[Style]': '[Left/Right Hand]', '[Lining]': '[13 ga Aramid]', '[Cuff Style]': '[Seamless]', '[Coating]': '[Nitrile]', '[Length]': '[230 | mm]', '[Resists]': '[Abrasion/Cut/Tear/Puncture]'}"
26,[1112110000],"{'[Size]': '[Large]', '[Material]': '[Triple-Dipped PVC]', '[Color]': '[Blue]', '[Finish]': '[Flat]', '[Hand Type]': '[Left/Right]', '[Lining]': '[Cotton Interlock]', '[Cuff Style]': '[Gauntlet]', '[Coating]': '[PVC]', '[Length]': '[12 | in]', '[Resists]': '[Abrasion/Cut/Tear/Puncture]'}"
27,[1163111814],"{'[Series]': '[40-151]', '[Size]': '[Medium]', '[Color]': '[White]', '[Material]': '[Microporous]', '[Resists]': '[Non-Hazardous Liquids/Dry Particles]'}"
28,[331428000000],"{'[Series]': '[W1L]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Amperage Rating]': '[20, 15 | mA]', '[Number of Switches]': '[1]', '[Enclosure Type]': '[NEMA]', '[Mounting Type]': '[Wall]', '[Temperature Rating]': '[0 to 45 | deg C]', '[Color]': '[White]', '[Dimensions]': '[4.75 in H x 3.35 in W x 1.85 in D]'}"
29,[1010120000],"{'[Type]': '[Abrasive]', '[Series]': '[CS 561]', '[Disc Diameter]': '[125 | mm]', '[Center Hole Size]': '[22 | mm]', '[Grit]': '[60]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Fibre]', '[Applicable Materials]': '[Steel/NF metals/Metals/Plastic/Stainless Steel/Wood]', '[Maximum Speed]': '[12200 | rpm]'}"
30,[341117000000],"{'[Input Voltage]': '[120 to 277 | V]', '[Amperage Rating]': '[20 | A]', '[Power Rating]': '[1500, 1800 | W]', '[Number of Wires]': '[4]', '[Mounting Type]': '[Junction Box]', '[Temperature Rating]': '[0 to 60 | deg C]', '[Color]': '[White]', '[Dimensions]': '[2.875 in H x 1.75 in W x 1.75 in D]'}"
31,[3622210000],"{'[Type]': '[Standard Segment]', '[Series]': '[DT 600 ACM Supra]', '[Blade Diameter]': '[4-1/2 | in]', '[Cutting Width]': '[3/64 | in]', '[Segment Height]': '[5/64 | in]', '[Maximum Speed]': '[13300 | rpm]', '[Applicable Materials]': '[Steel/Stainless Steel/Metals/NF Metals/Castings/Aluminum]'}"
32,[341321000000],"{'[Type]': '[Architectural]', '[Series]': '[CB2-LED]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[215 | W]', '[Average Life]': '[70000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V 5% Dimming]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[30000 | Lumens]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Post Painted White]', '[Dimensions]': '[5.5 in H x 45-13/16 in W x 3-5/16 in D]'}"
33,[1010130000],"{'[Type]': '[Self-Fastening]', '[Series]': '[PS22K]', '[Length]': '[5-1/4 | in]', '[Width]': '[3 | in]', '[Grit]': '[80]', '[Abrasive Material]': '[Aluminium Oxide]', '[Backing Material]': '[Paper]', '[Coat Type]': '[Semi-Open]', '[Applicable Materials]': '[Wood, Metals, Paint, Varnish, Plastic and Steel]', '[Backing Weight]': '[E-Weight]'}"
34,[341319000000],"{'[Series]': '[OMSD1]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[18 | W]', '[Lighting Technology]': '[seleCCTable®]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[Triac Dimming]', '[Lens Type]': '[PMMA Lens]', '[Lumens]': '[1400 | Lumens]', '[Mounting Type]': '[Surface/Flush]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Satin Nickel]', '[Dimensions]': '[3 in H x 12 in Dia]'}"
35,[341124000000],"{'[Type]': '[Universal]', '[Series]': '[APEL]', '[Voltage Rating]': '[3.6 | V]', '[Fixture Wattage]': '[1.5 | W]', '[Lamp Type]': '[LED]', '[Number of Heads]': '[2]', '[Power Source]': '[Ni-Cd Battery]', '[Mounting Type]': '[Surface]', '[Material]': '[Thermoplastic]'}"
36,[341835000000],"{'[Type]': '[Medium No Cut-Off]', '[Series]': '[OWP-NC-201-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[5000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Optical]', '[Lumens]': '[4500 | Lumens]', '[Mounting Type]': '[Wall]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[9-1/2 in H x 14-1/2 in W x 7-3/4 in D]'}"
37,[342310000000],"{'[Type]': '[Flicker-Free Triac Dimming]', '[Series]': '[ET-LED-345]', '[Lamp Type]': '[LED]', '[Fixture Wattage]': '[36.9 | W]', '[Voltage Rating]': '[120 | V]', '[Color Temperature]': '[3000 | K]', '[Maximum Extension]': '[360 deg horizontal/180 deg vertical]', '[Color Rendering Index (CRI)]': '[90]', '[Beam Spread]': '[36 to 38 deg Flood]', '[Head Type]': '[Adjustable]', '[Width]': '[5 | in]', '[Length]': '[6.94 | in]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Extruded Die Cast Aluminum]', '[Housing Finish]': '[Architectural Black]'}"
38,[342012000000],"{'[Type]': '[Insert]', '[Series]': '[RL475]', '[Suitable For Use With]': '[RL475 Series Downlights]', '[Material]': '[Die-Cast Aluminum]', '[Color]': '[Black]'}"
39,[342014000000],"{'[Series]': '[RL442]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Mounting Type]': '[Junction Box]', '[Suitable For Use With]': '[Ideal for residential, hospitality, and commercial applications]', '[Diameter]': '[4 | in]', '[Height]': '[4 | in]', '[Color]': '[White]'}"
40,[1112110000],"{'[Size]': '[Small]', '[Material]': '[Triple-Dipped PVC]', '[Color]': '[Blue]', '[Finish]': '[Flat]', '[Hand Type]': '[Left/Right]', '[Lining]': '[Cotton Interlock]', '[Cuff Style]': '[Gauntlet]', '[Coating]': '[PVC]', '[Length]': '[12 | in]', '[Resists]': '[Abrasion/Cut/Tear/Puncture]'}"
41,[1012150000],"{'[Type]': '[Foundry]', '[Series]': '[W208]', '[Head Diameter]': '[3/4 | in]', '[Shank Diameter]': '[1/4 | in]', '[Shank Length]': '[1-1/2 | in]', '[Grit]': '[24]', '[Grade]': '[U]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[18750 | rpm]', '[Bond Type]': '[Resin]'}"
42,[341827000000],"{'[Type]': '[Twin Head]', '[Series]': '[SFLS]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[100 | W]', '[Number of Lamps]': '[2]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Frosted]', '[Lumens]': '[1500 | Lumens]', '[Mounting Type]': '[Eave/Wall]', '[Housing Material]': '[Polycarbonate]', '[Sensing Angle]': '[180 | deg]', '[Time Delay]': '[30, 60, 90 | sec]', '[Detection Range]': '[40 | ft]', '[Dimensions]': '[6.46 in H x 8.94 in W]'}"
43,[1010120000],"{'[Type]': '[Abrasive]', '[Series]': '[CS 561]', '[Disc Diameter]': '[115 | mm]', '[Center Hole Size]': '[22 | mm]', '[Grit]': '[80]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Fibre]', '[Applicable Materials]': '[Steel/NF metals/Metals/Plastic/Stainless Steel/Wood]', '[Maximum Speed]': '[13300 | rpm]'}"
44,[331422000000],"{'[Type]': '[Small Button]', '[Series]': '[FDW]', '[Voltage Rating]': '[9.5 to 22.5 | VDC]', '[Operation Mode]': '[On/Off]', '[Control]': '[4-Button ON/OFF]', '[Mounting Type]': '[Wall]', '[Color]': '[White]'}"
45,[341331000000],"{'[Series]': '[VT2]', '[Voltage Rating]': '[120 to 277 | V]', '[Fixture Wattage]': '[58 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED 5.0]', '[Light Output]': '[150 | Lumens/W]', '[Average Life]': '[60000 | hrs]', '[Color Temperature]': '[3500 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[Dimming Driver]', '[Lens Type]': '[Prismatic Glass]', '[Lumens]': '[8000 | Lumens]', '[Mounting Type]': '[Chain/Surface]', '[Housing Material]': '[Fiberglass/Metal]', '[Housing Finish]': '[Grey]', '[Dimensions]': '[5-7/8 in H x 7 in W x 49-13/16 in L]'}"
46,[1010281200],"{'[Type]': '[Self-Fastening Semi-Open Coat]', '[Series]': '[FP 77 K T-ACT]', '[Disc Diameter]': '[6 | in]', '[Grit]': '[280]', '[Grade]': '[Fine]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Film]'}"
47,[341811000000],"{'[Type]': '[Area Luminaire]', '[Series]': '[LAS100S]', '[Voltage Rating]': '[347 to 480 | V]', '[Amperage Rating]': '[0.09 to 0.45 | A]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[251 | W]', '[Light Output]': '[135 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[70]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lens Type]': '[UV-Resistant Polycarbonate]', '[Lumens]': '[34000 | Lumens]', '[Enclosure Type]': '[IP65/IP66]', '[Mounting Type]': '[Slipfitter]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[9-17/64 in H x 27-37/64 in L x 12-7/32 in W]'}"
48,[1012110000],"{'[Type]': '[Flat]', '[Series]': '[A 46 TZ Special]', '[Wheel Diameter]': '[4-1/2 | in]', '[Wheel Thickness]': '[1/16 | in]', '[Center Hole Size]': '[7/8 | in]', '[Abrasive Material]': '[Aluminum Oxide]', '[Maximum Speed]': '[13300 | rpm]', '[Bond Type]': '[Synthetic Resin/Fibre-Reinforced]', '[Applicable Materials]': '[Stainless Steel/Steel]', '[Suitable For Use With]': '[Angle Grinders]'}"
49,[341330000000],"{'[Type]': '[Architectural]', '[Series]': '[ODVH-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[47 | W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[3500 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lens Type]': '[Acrylic]', '[Lumens]': '[5000 | Lumens]', '[Mounting Type]': '[Recessed]', '[Housing Material]': '[Steel]', '[Dimensions]': '[23.8 in H x 23.6 in W x 5.6 in D]'}"
50,[342014000000],"{'[Series]': '[BL4IC]', '[Voltage Rating]': '[120 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[50 | W]', '[Insulation Type]': '[IC]', '[Mounting Type]': '[Recessed]', '[Diameter]': '[4 | in]', '[Height]': '[9-1/2 | in]', '[Width]': '[13 | in]', '[Depth]': '[7-1/4 | in]', '[Housing Material]': '[Aluminum]'}"
51,[341114000000],"{'[Series]': '[ELM-LED-816]', '[Voltage Rating]': '[120 to 277 | V]', '[Fixture Wattage]': '[2.7 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[1 | W]', '[Number of Heads]': '[2]', '[Lumens]': '[123 | Lumens]', '[Power Source]': '[Free Lead Calcium Battery]', '[Mounting Type]': '[Universal Wall/Ceiling]', '[Dimensions]': '[4.5 in H x 12.5 in W x 3 in D]', '[Material]': '[Thermoplastic]', '[Color]': '[White]'}"
52,[1012130000],"{'[Type]': '[Portable Snagging]', '[Series]': '[T1]', '[Maximum Diameter]': '[6 | in]', '[Head Thickness]': '[1 | in]', '[Center Hole Size]': '[5/8 | in]', '[Shape Type]': '[Type 1]', '[Grit]': '[16]', '[Grade]': '[Q]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[8000 | rpm]', '[Bond Type]': '[Resin]', '[Attachment Type]': '[Arbor Hole]', '[Applicable Materials]': '[Cast Iron/Cast Steel/Ductile Iron/Gray Iron/High-Nickel Alloys/Stainless Steel/White Iron]'}"
53,[1112130000],"{'[Type]': '[Ultra Thin Cut-Resistant]', '[Series]': '[69-840]', '[Size]': '[X-Small]', '[Palm Material]': '[HPPE]', '[Coating Material]': '[Foam Nitrile]', '[Material]': '[HPPE]', '[Color]': '[Sky-Blue]', '[Hand Type]': '[Paired]', '[Lining]': '[HPPE]', '[Cuff Style]': '[Seamless]', '[ANSI Puncture-Resistance Level]': '[3]', '[Resists]': '[Abrasion, Cut, Tear and Puncture]'}"
54,[1015240000],"{'[Type]': '[Drive]', '[Arbor Hole Size]': '[7/8 | in]', '[Shank Diameter]': '[3/4 | in]', '[Shaft Length]': '[2 -3/4 | in]', '[Suitable For Use With]': '[3 in and 4 in Nylox Disc Brushes]', '[Maximum Speed]': '[2500 | rpm]'}"
55,[321719000000],"{'[Series]': '[PR8]', '[Wattage]': '[10.5 | W]', '[Voltage Rating]': '[120 to 277 | V]', '[Amperage Rating]': '[0.09, 0.04 | A]', '[Lamp Type]': '[LED]', '[Shape]': '[Round]', '[Lumens]': '[1000 | Lumens]', '[Average Life]': '[50000 | hrs]', '[Color Rendering Index (CRI)]': '[80]', '[Color Temperature]': '[3000, 3500, 4000 | K]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Fixture Type]': '[Retrofit]', '[Dimensions]': '[9-3/4 in Dia x 2-11/16 in H]'}"
56,[342310000000],"{'[Type]': '[Flicker-Free Triac Dimming]', '[Series]': '[ET-LED-343]', '[Lamp Type]': '[LED]', '[Fixture Wattage]': '[14 | W]', '[Voltage Rating]': '[120 | V]', '[Color Temperature]': '[3000 | K]', '[Maximum Extension]': '[360 deg horizontal/180 deg vertical]', '[Color Rendering Index (CRI)]': '[90]', '[Beam Spread]': '[36 to 38 deg Flood]', '[Head Type]': '[Adjustable]', '[Width]': '[3.66 | in]', '[Length]': '[4.22 | in]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Extruded Die Cast Aluminum]', '[Housing Finish]': '[Architectural White]'}"
57,[331525000000],"{'[Type]': '[1-Pole 3-Way]', '[Series]': '[VNW-P]', '[Voltage Rating]': '[120 to 277 | V]', '[Sensor Type]': '[PIR]', '[Coverage]': '[1000 | sq-ft]', '[Control Output]': '[Manual On]', '[Mounting Type]': '[Wall]', '[Color]': '[Black]'}"
58,[341110000000],"{'[Type]': '[Ultra Slim]', '[Series]': '[ELX-LED-718]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[0.5 | W]', '[Legend]': '[EXIT]', '[Legend Color]': '[Red]', '[Mounting Type]': '[Wall]', '[Power Source]': '[Ni-Cd Battery]', '[Housing Material]': '[Thermoplastic]', '[Housing Finish]': '[White]'}"
59,[342016000000],"{'[Type]': '[LED Retrofit]', '[Series]': '[RL428]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[10 | W]', '[Lighting Technology]': '[seleCCTable®]', '[Lamp Type]': '[LED]', '[Light Output]': '[Upto 60 | Lumens/W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[15% Dimming]', '[Lumens]': '[950 | Lumens]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Die-Cast Aluminum]', '[Dimensions]': '[3.4 in H x 4.9 in Dia]'}"
60,[342016000000],"{'[Type]': '[Round Baffle Slim]', '[Series]': '[RL679]', '[Voltage Rating]': '[120 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[18 | W]', '[Ceiling Opening]': '[6 | in]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[2700, 3000, 3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[Triac Dimming]', '[Lumens]': '[1100 | Lumens]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Die-Cast Aluminum]'}"
61,[341820000000],"{'[Series]': '[OVR-202-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[30, 45, 63 | W]', '[Lamp Type]': '[LED]', '[Light Output]': '[116 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[3500 | Lumens]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[White]', '[Dimensions]': '[12 in H x 12 in W x 3.32 in D]'}"
62,[2525230000],"{'[Type]': '[Abrasive Mop]', '[Series]': '[KM 613]', '[Size]': '[3 | in]', '[Width]': '[1-1/2 | in]'}"
